epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.6979,1.87622,4.64077,1.35929,0.00186,0.2614,0.02269,0.01271,1.85028,4.45857,1.13077,0.00011432,0.00011432,0.00011432
2,157.429,1.75713,3.53245,1.19076,0.00489,0.81053,0.17781,0.08255,1.71639,4.13291,1.03753,0.000239924,0.000239924,0.000239924
3,227.163,1.59962,2.51394,1.11145,0.00446,0.75088,0.23683,0.13402,1.52175,3.98067,1.01062,0.000362344,0.000362344,0.000362344
4,294.789,1.58409,2.3449,1.15061,0.00471,0.72456,0.23376,0.13723,1.43082,3.95481,0.99151,0.000481582,0.000481582,0.000481582
5,362.981,1.50779,2.24845,1.10632,0.00266,0.65439,0.10392,0.05545,1.33512,3.96585,1.04214,0.000597636,0.000597636,0.000597636
6,429.985,1.50561,2.10955,1.11827,0.00189,0.29474,0.05396,0.03353,1.40312,3.89149,1.07079,0.000710508,0.000710508,0.000710508
7,497.462,1.47468,2.03449,1.06375,0.0041,0.40351,0.17782,0.10288,1.39568,3.50853,1.07546,0.000820196,0.000820196,0.000820196
8,564.948,1.44278,1.98538,1.10483,0.90287,0.06417,0.24807,0.1522,1.40713,3.25636,1.08666,0.000926701,0.000926701,0.000926701
9,631.873,1.43384,1.87264,1.08242,0.00526,0.54737,0.27953,0.16037,1.50025,3.24632,1.13043,0.00103002,0.00103002,0.00103002
10,698.883,1.52665,1.87155,1.12333,0.00701,0.92281,0.32356,0.18424,1.50689,3.1246,1.1451,0.00113016,0.00113016,0.00113016
11,765.494,1.38078,1.72348,1.07939,0.98904,0.03509,0.3706,0.22687,1.56928,2.91834,1.19544,0.00122712,0.00122712,0.00122712
12,832.645,1.46248,1.80464,1.12872,0.75645,0.26372,0.41673,0.23581,1.49741,2.46796,1.19309,0.00123448,0.00123448,0.00123448
13,899.897,1.41965,1.7153,1.11254,0.73449,0.31754,0.40437,0.22746,1.57645,2.33323,1.21225,0.00121679,0.00121679,0.00121679
14,967.041,1.44017,1.62879,1.09488,0.78021,0.45439,0.51155,0.28717,1.59583,1.89126,1.22109,0.00119911,0.00119911,0.00119911
15,1032.78,1.44449,1.53383,1.07268,0.70319,0.48956,0.4907,0.30093,1.53686,1.89051,1.21511,0.00118143,0.00118143,0.00118143
16,1098.59,1.39176,1.58867,1.07658,0.70695,0.51076,0.55106,0.36314,1.51515,1.91393,1.19145,0.00116374,0.00116374,0.00116374
17,1164.06,1.41216,1.52304,1.06908,0.63105,0.37443,0.4436,0.26812,1.56252,1.992,1.21725,0.00114606,0.00114606,0.00114606
18,1229.71,1.36152,1.4625,1.06233,0.70537,0.46792,0.48881,0.30617,1.5031,1.79605,1.18824,0.00112837,0.00112837,0.00112837
19,1294.87,1.3345,1.38618,1.05551,0.42784,0.45105,0.45813,0.27241,1.45494,1.82866,1.17098,0.00111069,0.00111069,0.00111069
